N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,8.769986,0.698681124551
100,4,1,2,7.083178,0.134155351425
100,4,1,3,7.206668,0.0868622920259
100,4,2,1,8.84128,0.338869109834
100,4,3,1,8.936894,0.208609805052
100,4,2,2,5.214306,1.03352028348
100,4,3,3,3.978146,0.545714706311
100,8,1,1,8.629846,0.0800492741004
100,8,1,2,7.109016,0.10336724696
100,8,1,3,7.228554,0.0998877524224
100,8,2,1,8.812348,0.259583225375
100,8,3,1,8.936108,0.135934662011
100,8,2,2,4.952058,0.839588400727
100,8,3,3,4.148394,0.65847782253
398,8,1,1,33.180006,1.68476014137
398,8,1,2,26.858318,0.923755292746
398,8,1,3,28.43107,2.4151076028
398,8,2,1,34.932636,3.14898672838
398,8,3,1,35.06288,1.94296610511
398,8,2,2,19.440122,3.89340101905
398,8,3,3,14.76718,2.09869515642
