N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,8.641764,0.70685770018
100,4,1,2,7.00522,0.0436677409537
100,4,1,3,7.156058,0.101439275609
100,4,2,1,8.664222,0.123866447095
100,4,3,1,8.786236,0.153910741354
100,4,2,2,4.450034,0.0993029951411
100,4,3,3,4.87718,0.741869009732
100,8,1,1,8.531116,0.0540339018025
100,8,1,2,7.003384,0.0765103688659
100,8,1,3,7.105676,0.0712692852777
100,8,2,1,8.644252,0.0492267051101
100,8,3,1,8.758454,0.232868804016
100,8,2,2,5.043978,0.868540086303
100,8,3,3,5.283698,1.00279718528
398,8,1,1,34.20722,0.511748082165
398,8,1,2,28.542494,1.86936625463
398,8,1,3,29.763652,1.46251119616
398,8,2,1,34.000328,1.44235515058
398,8,3,1,34.547778,1.41231509966
398,8,2,2,17.172018,0.944777830855
398,8,3,3,16.140488,1.31253430959
